t,V,I
93881.4551,2.89862463,-0.0022
93941.4551,2.898854287,-0.0022
94001.4551,2.899083794,-0.0022
94061.4551,2.899313149,-0.0022
94121.4551,2.899542355,-0.0022
94181.4551,2.89977141,-0.0022
94241.4551,2.900000314,-0.0022
94301.4551,2.900229069,-0.0022
94361.4551,2.900457674,-0.0022
94421.4551,2.900686128,-0.0022
94481.4551,2.900914433,-0.0022
94541.4551,2.901142588,-0.0022
94601.4551,2.901370593,-0.0022
94661.4551,2.901598449,-0.0022
94721.4551,2.901826155,-0.0022
94781.4551,2.902053712,-0.0022
94841.4551,2.90228112,-0.0022
94901.4551,2.902508379,-0.0022
94961.4551,2.902735488,-0.0022
95021.4551,2.902962449,-0.0022
95081.4551,2.90318926,-0.0022
95141.4551,2.903415923,-0.0022
95201.4551,2.903642438,-0.0022
95261.4551,2.903868804,-0.0022
95321.4551,2.904095021,-0.0022
95381.4551,2.90432109,-0.0022
95441.4551,2.904547011,-0.0022
95501.4551,2.904772783,-0.0022
95561.4551,2.904998408,-0.0022
95621.4551,2.905223884,-0.0022
95681.4551,2.905449213,-0.0022
95741.4551,2.905674394,-0.0022
95801.4551,2.905899427,-0.0022
95861.4551,2.906124313,-0.0022
95921.4551,2.906349051,-0.0022
95981.4551,2.906573642,-0.0022
96041.4551,2.906798085,-0.0022
96101.4551,2.907022382,-0.0022
96161.4551,2.907246531,-0.0022
96221.4551,2.907470534,-0.0022
96281.4551,2.907694389,-0.0022
96341.4551,2.907918098,-0.0022
96401.4551,2.90814166,-0.0022
96461.4551,2.908365075,-0.0022
96521.4551,2.908588344,-0.0022
96581.4551,2.908811467,-0.0022
96641.4551,2.909034443,-0.0022
96701.4551,2.909257273,-0.0022
96761.4551,2.909479957,-0.0022
96821.4551,2.909702495,-0.0022
96881.4551,2.909924888,-0.0022
96941.4551,2.910147134,-0.0022
97001.4551,2.910369235,-0.0022
97061.4551,2.91059119,-0.0022
97121.4551,2.910812999,-0.0022
97181.4551,2.911034663,-0.0022
97241.4551,2.911256182,-0.0022
97301.4551,2.911477555,-0.0022
97361.4551,2.911698784,-0.0022
97421.4551,2.911919867,-0.0022
97481.4551,2.912140806,-0.0022
97541.4551,2.9123616,-0.0022
97601.4551,2.912582248,-0.0022
97661.4551,2.912802753,-0.0022
97721.4551,2.913023113,-0.0022
97781.4551,2.913243328,-0.0022
97841.4551,2.913463399,-0.0022
97901.4551,2.913683326,-0.0022
97961.4551,2.913903108,-0.0022
98021.4551,2.914122747,-0.0022
98081.4551,2.914342241,-0.0022
98141.4551,2.914561592,-0.0022
98201.4551,2.914780799,-0.0022
98261.4551,2.914999862,-0.0022
98321.4551,2.915218782,-0.0022
98381.4551,2.915437558,-0.0022
98441.4551,2.915656191,-0.0022
98501.4551,2.91587468,-0.0022
98561.4551,2.916093026,-0.0022
98621.4551,2.916311229,-0.0022
98681.4551,2.91652929,-0.0022
98741.4551,2.916747207,-0.0022
98801.4551,2.916964981,-0.0022
98861.4551,2.917182613,-0.0022
98921.4551,2.917400102,-0.0022
98981.4551,2.917617449,-0.0022
99041.4551,2.917834653,-0.0022
99101.4551,2.918051715,-0.0022
99161.4551,2.918268634,-0.0022
99221.4551,2.918485412,-0.0022
99281.4551,2.918702047,-0.0022
99341.4551,2.918918541,-0.0022
99401.4551,2.919134892,-0.0022
99461.4551,2.919351102,-0.0022
99521.4551,2.91956717,-0.0022
99581.4551,2.919783097,-0.0022
99641.4551,2.919998882,-0.0022
99701.4551,2.920214525,-0.0022
99761.4551,2.920430028,-0.0022
99821.4551,2.920645389,-0.0022
99881.4551,2.920860609,-0.0022
99941.4551,2.921075688,-0.0022
100001.4551,2.921290626,-0.0022
100061.4551,2.921505424,-0.0022
100121.4551,2.92172008,-0.0022
100181.4551,2.921934596,-0.0022
100241.4551,2.922148971,-0.0022
100301.4551,2.922363206,-0.0022
100361.4551,2.922577301,-0.0022
100421.4551,2.922791255,-0.0022
100481.4551,2.923005069,-0.0022
100541.4551,2.923218743,-0.0022
100601.4551,2.923432278,-0.0022
