t,V,I
58503.37983,2.908852839,-0.01
58563.37983,2.909216166,-0.01
58623.37983,2.909579111,-0.01
58683.37983,2.909941675,-0.01
58743.37983,2.910303857,-0.01
58803.37983,2.910665658,-0.01
58863.37983,2.911027079,-0.01
58923.37983,2.91138812,-0.01
58983.37983,2.911748782,-0.01
59043.37983,2.912109064,-0.01
59103.37983,2.912468968,-0.01
59163.37983,2.912828493,-0.01
59223.37983,2.913187641,-0.01
59283.37983,2.913546411,-0.01
59343.37983,2.913904805,-0.01
59403.37983,2.914262822,-0.01
59463.37983,2.914620463,-0.01
59523.37983,2.914977729,-0.01
59583.37983,2.915334619,-0.01
59643.37983,2.915691135,-0.01
59703.37983,2.916047276,-0.01
59763.37983,2.916403044,-0.01
59823.37983,2.916758439,-0.01
59883.37983,2.91711346,-0.01
59943.37983,2.917468109,-0.01
60003.37983,2.917822386,-0.01
60063.37983,2.918176291,-0.01
60123.37983,2.918529825,-0.01
60183.37983,2.918882988,-0.01
60243.37983,2.919235781,-0.01
60303.37983,2.919588204,-0.01
60363.37983,2.919940258,-0.01
60423.37983,2.920291942,-0.01
60483.37983,2.920643258,-0.01
60543.37983,2.920994206,-0.01
60603.37983,2.921344786,-0.01
60663.37983,2.921694999,-0.01
60723.37983,2.922044844,-0.01
60783.37983,2.922394324,-0.01
60843.37983,2.922743437,-0.01
60903.37983,2.923092185,-0.01
60963.37983,2.923440567,-0.01
61023.37983,2.923788585,-0.01
61083.37983,2.924136239,-0.01
61143.37983,2.924483528,-0.01
61203.37983,2.924830454,-0.01
61263.37983,2.925177017,-0.01
61323.37983,2.925523218,-0.01
61383.37983,2.925869056,-0.01
61443.37983,2.926214533,-0.01
61503.37983,2.926559648,-0.01
61563.37983,2.926904402,-0.01
61623.37983,2.927248796,-0.01
61683.37983,2.927592829,-0.01
61743.37983,2.927936503,-0.01
61803.37983,2.928279818,-0.01
61863.37983,2.928622774,-0.01
61923.37983,2.928965372,-0.01
61983.37983,2.929307611,-0.01
62043.37983,2.929649493,-0.01
62103.37983,2.929991018,-0.01
62163.37983,2.930332186,-0.01
62223.37983,2.930672998,-0.01
62283.37983,2.931013454,-0.01
62343.37983,2.931353554,-0.01
62403.37983,2.9316933,-0.01
62463.37983,2.932032691,-0.01
62523.37983,2.932371727,-0.01
62583.37983,2.93271041,-0.01
62643.37983,2.93304874,-0.01
62703.37983,2.933386716,-0.01
62763.37983,2.93372434,-0.01
62823.37983,2.934061612,-0.01
62883.37983,2.934398532,-0.01
62943.37983,2.9347351,-0.01
63003.37983,2.935071318,-0.01
63063.37983,2.935407185,-0.01
63123.37983,2.935742703,-0.01
63183.37983,2.93607787,-0.01
63243.37983,2.936412688,-0.01
63303.37983,2.936747158,-0.01
63363.37983,2.937081279,-0.01
63423.37983,2.937415052,-0.01
63483.37983,2.937748477,-0.01
63543.37983,2.938081555,-0.01
63603.37983,2.938414286,-0.01
63663.37983,2.938746671,-0.01
63723.37983,2.93907871,-0.01
63783.37983,2.939410403,-0.01
63843.37983,2.939741751,-0.01
63903.37983,2.940072755,-0.01
63963.37983,2.940403414,-0.01
64023.37983,2.940733729,-0.01
64083.37983,2.9410637,-0.01
64143.37983,2.941393329,-0.01
64203.37983,2.941722614,-0.01
64263.37983,2.942051557,-0.01
64323.37983,2.942380158,-0.01
64383.37983,2.942708418,-0.01
64443.37983,2.943036337,-0.01
64503.37983,2.943363914,-0.01
64563.37983,2.943691152,-0.01
64623.37983,2.944018049,-0.01
64683.37983,2.944344607,-0.01
64743.37983,2.944670826,-0.01
64803.37983,2.944996706,-0.01
64863.37983,2.945322248,-0.01
64923.37983,2.945647452,-0.01
64983.37983,2.945972318,-0.01
65043.37983,2.946296847,-0.01
65103.37983,2.94662104,-0.01
65163.37983,2.946944896,-0.01
65223.37983,2.947268416,-0.01
65283.37983,2.9475916,-0.01
65343.37983,2.947914449,-0.01
65403.37983,2.948236964,-0.01
65463.37983,2.948559144,-0.01
65523.37983,2.94888099,-0.01
65583.37983,2.949202503,-0.01
65643.37983,2.949523682,-0.01
65703.37983,2.949844529,-0.01
65763.37983,2.950165043,-0.01
65823.37983,2.950485225,-0.01
65883.37983,2.950805076,-0.01
65943.37983,2.951124595,-0.01
66003.37983,2.951443784,-0.01
66063.37983,2.951762642,-0.01
66123.37983,2.95208117,-0.01
66183.37983,2.952399368,-0.01
66243.37983,2.952717237,-0.01
66303.37983,2.953034777,-0.01
66363.37983,2.953351989,-0.01
66423.37983,2.953668872,-0.01
66483.37983,2.953985428,-0.01
66543.37983,2.954301656,-0.01
66603.37983,2.954617558,-0.01
66663.37983,2.954933133,-0.01
66723.37983,2.955248382,-0.01
66783.37983,2.955563304,-0.01
66843.37983,2.955877902,-0.01
66903.37983,2.956192174,-0.01
66963.37983,2.956506122,-0.01
67023.37983,2.956819746,-0.01
67083.37983,2.957133046,-0.01
67143.37983,2.957446022,-0.01
67203.37983,2.957758675,-0.01
67263.37983,2.958071005,-0.01
67323.37983,2.958383013,-0.01
67383.37983,2.9586947,-0.01
67443.37983,2.959006064,-0.01
67503.37983,2.959317107,-0.01
67563.37983,2.95962783,-0.01
67623.37983,2.959938232,-0.01
67683.37983,2.960248314,-0.01
67743.37983,2.960558076,-0.01
67803.37983,2.960867519,-0.01
67863.37983,2.961176643,-0.01
67923.37983,2.961485449,-0.01
67983.37983,2.961793936,-0.01
68043.37983,2.962102106,-0.01
68103.37983,2.962409958,-0.01
68163.37983,2.962717493,-0.01
68223.37983,2.963024712,-0.01
68283.37983,2.963331614,-0.01
68343.37983,2.9636382,-0.01
68403.37983,2.963944471,-0.01
68463.37983,2.964250427,-0.01
68523.37983,2.964556068,-0.01
68583.37983,2.964861394,-0.01
68643.37983,2.965166406,-0.01
68703.37983,2.965471105,-0.01
68763.37983,2.96577549,-0.01
68823.37983,2.966079563,-0.01
68883.37983,2.966383323,-0.01
68943.37983,2.966686771,-0.01
69003.37983,2.966989907,-0.01
69063.37983,2.967292731,-0.01
69123.37983,2.967595245,-0.01
69183.37983,2.967897447,-0.01
69243.37983,2.96819934,-0.01
69303.37983,2.968500922,-0.01
69363.37983,2.968802195,-0.01
69423.37983,2.969103159,-0.01
69483.37983,2.969403814,-0.01
69543.37983,2.96970416,-0.01
69603.37983,2.970004198,-0.01
69663.37983,2.970303929,-0.01
69723.37983,2.970603352,-0.01
69783.37983,2.970902468,-0.01
69843.37983,2.971201278,-0.01
69903.37983,2.971499781,-0.01
69963.37983,2.971797978,-0.01
70023.37983,2.97209587,-0.01
70083.37983,2.972393456,-0.01
70143.37983,2.972690738,-0.01
70203.37983,2.972987715,-0.01
70263.37983,2.973284388,-0.01
70323.37983,2.973580758,-0.01
70383.37983,2.973876824,-0.01
70443.37983,2.974172587,-0.01
70503.37983,2.974468047,-0.01
70563.37983,2.974763205,-0.01
70623.37983,2.975058061,-0.01
70683.37983,2.975352616,-0.01
70743.37983,2.975646869,-0.01
70803.37983,2.975940821,-0.01
70863.37983,2.976234473,-0.01
70923.37983,2.976527825,-0.01
70983.37983,2.976820877,-0.01
71043.37983,2.97711363,-0.01
71103.37983,2.977406084,-0.01
71163.37983,2.977698238,-0.01
71223.37983,2.977990095,-0.01
71283.37983,2.978281654,-0.01
71343.37983,2.978572914,-0.01
71403.37983,2.978863878,-0.01
71463.37983,2.979154545,-0.01
71523.37983,2.979444915,-0.01
71583.37983,2.979734989,-0.01
71643.37983,2.980024767,-0.01
71703.37983,2.98031425,-0.01
71763.37983,2.980603437,-0.01
71823.37983,2.98089233,-0.01
71883.37983,2.981180928,-0.01
71943.37983,2.981469232,-0.01
72003.37983,2.981757243,-0.01
72063.37983,2.98204496,-0.01
72123.37983,2.982332384,-0.01
